Название (реестр АРРФР);БИН;Категория;Полное название (гос. регистр);Юридический адрес;Руководитель;Примечание
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""CashCapital""";210240011917;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""CASHCAPITAL""";Г.АСТАНА, РАЙОН САРЫАРКА, улица Кенжебека Кумисбекова, дом 8, кв. 32;АБЫКАНОВ АЙБЕК ЕРГАНАТҰЛЫ;
"ТОО ""Хан Б Ломбард""";180240007287;Ломбард;"ТОО ""ХАН Б ЛОМБАРД""";Г.АЛМАТЫ, ЖЕТЫСУСКИЙ РАЙОН, Микрорайон Кокжиек, дом 26, кв. 41;ДАНЫШПАНОВА АЛЬБИНА НУРЛАНОВНА;
"ТОО ""КТ ""Сарыбел""";030640001450;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""САРЫБЕЛ""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, ОСАКАРОВСКИЙ РАЙОН, ОСАКАРОВСКАЯ П.А., П.ОСАКАРОВКА, улица Фабричная, здание 46;БАШАРОВ НУРЛАН АМАНГЕЛЬДЫЕВИЧ;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Дихан""";030640001669;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ДИХАН""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ЖАМБЫЛСКИЙ РАЙОН, АСИНСКИЙ С.О., С.АСА, улица Абай, здание 26;АМИРБЕКОВ ДАУЛЕТ ПЕРНЕБЕКОВИЧ;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Жуалы""";031040002013;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖУАЛЫ""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ЖУАЛЫНСКИЙ РАЙОН, Б.МОМЫШУЛЫ С.О., С.ИМ.Б.МОМЫШУЛЫ, улица Рысбек Батыр, здание 56Б;МЕДЕТОВ АСХАТ ДАУЛЕТОВИЧ;
"Товарищество с ограниченной ответственностью ""Ломбард ""Меркурий""";120240017045;Ломбард;"ТОО ""ЛОМБАРД ""МЕРКУРИЙ""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ТАРАЗ Г.А., Г.ТАРАЗ, РАЙОН ӘУЛИЕАТА, улица Гамалея, дом 1;КОРАБАЕВА ДИНАРА ШЕГЕБАЕВНА;
"Товарищество с ограниченной ответственностью ""Ломбард ""Асылжан""";081140000931;Ломбард;"ТОО ""ЛОМБАРД ""АСЫЛЖАН""";Г.ШЫМКЕНТ, РАЙОН ТУРАН, улица Мангельдина, дом 43, н.п. 1;ТЕНЛИБАЕВА ЖАМИЛА СЕРИКБАЕВНА;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Оңтүстік Финанс-Ресурс""";120440026270;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ОҢТҮСТІК ФИНАНС-РЕСУРС""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, улица Толе би, здание 25;СЕЙІТЖАН БАҚЫТЖАН СЕРІКЖАНҰЛЫ;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Тенге-несие""";031240001329;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ТЕНГЕ-НЕСИЕ""";Г.ШЫМКЕНТ, РАЙОН ТУРАН, улица Санжара Жандосова, дом 2, н.п. 22;БИБОСЫНОВ НУРЖАН БАЗАРБАЕВИЧ;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""StartUp Invest""";200640000499;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""STARTUP INVEST""";ТУРКЕСТАНСКАЯ ОБЛАСТЬ, РАЙОН САУРАН, С.О.ЕСКИ ИКАН, С.СТАРОИКАН, улица Аль Бухарий, дом 22;ИСМАИЛОВ НУРЛАН МИРИСЛАМОВИЧ;
"Товарищество с ограниченной ответственностью ""Казах Ломбард""";130640022946;Ломбард;"ТОО ""КАЗАХ ЛОМБАРД""";Г.ШЫМКЕНТ, ЕНБЕКШИНСКИЙ РАЙОН, Микрорайон 18, улица Рыскулова, строение 28;АМАНТАЙ ГУЛЬМИРА СЕЙТКАЛИКЫЗЫ;
"Товарищество с ограниченной ответственностью ""Ломбард Самұрық kz""";121040014482;Ломбард;"ТОО ""ЛОМБАРД САМҰРЫҚ KZ""";Г.ШЫМКЕНТ, ЕНБЕКШИНСКИЙ РАЙОН, улица Безделева, дом 4, кв. 49;АКТАЕВ МУХТАР ОСПАНОВИЧ;
"Товарищество с ограниченной ответственностью ""∑παρτα Ломбард""";181240026947;Ломбард;"ТОО ""∑ΠΑΡΤΑ ЛОМБАРД""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, УЛИЦА Н.ТОРЕКУЛОВ ЗД.2/1;ЗЕТБЕКОВ ОЛЖАС МАРАТҰЛЫ;
"ТОО ""Ломбард ""Астаналык-2011""";111140006750;Ломбард;"ТОО ""ЛОМБАРД ""АСТАНАЛЫК - 2011""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, АБАЙСКИЙ РАЙОН, АБАЙСКАЯ Г.А., Г.АБАЙ, Микрорайон 3, дом 3, кв. 47;БИЖАНОВА НАРГИЗ БЕКТАСОВНА;
"ТОО ""Ломбард Gold V""";090640018159;Ломбард;"ТОО ""ЛОМБАРД GOLD V""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, улица Камали Дүйсембекова, дом 37;ШТЕБЛАУ АНАСТАСИЯ АЛЕКСАНДРОВНА;
"ТОО ""Ломбард ""Алтын Төбе""";081140016482;Ломбард;"ТОО ""ЛОМБАРД ""АЛТЫН ТӨБЕ""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, ТЕМИРТАУ Г.А., Г.ТЕМИРТАУ, Проспект Мира, дом 110В;ПЕРЕГИНЕЦ СНЕЖАНА ВЛАДИМИРОВНА;
"ТОО ""Ломбард ""Казына Gold""";130540012919;Ломбард;"ТОО ""ЛОМБАРД КАЗЫНА GOLD""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, улица Рыскулова, дом 7, кв. 62;АБИЛХАЕВА АЙГУЛ КАБДЫКӘРІМҚЫЗЫ;
"ТОО ""Кредитное товарищество ""Индер-АКО""";160340015931;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ИНДЕР-АКО""";АТЫРАУСКАЯ ОБЛАСТЬ, ИНДЕРСКИЙ РАЙОН, ИНДЕРБОРСКАЯ П.А., П.ИНДЕРБОРСКИЙ, улица Мендигалиев Нигмет, дом 3, кв. 2;ЖИЕНГАЛИЕВ ДАРХАН КУАНЫШУЛЫ;
"ТОО ""Микрофинансовая организация ""Qaz Qredit""";180140022524;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""QAZ QREDIT""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Юрий Померанцев, здание 5;АСЫЛСЕИТ ЕРІК СЕЙТҚАЗЫҰЛЫ;
"ТОО ""Ломбард ""CreditLine""";100740008000;Ломбард;"ТОО ""ЛОМБАРД ""CREDITLINE""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛИЦА АУЭЗОВА, 163А, КВ 207;КАЗИМИРОВ ВАЛЕНТИН БОРИСОВИЧ;
"ТОО ""Кредитное товарищество ""LCI""";080640017733;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""LCI""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Джумалиева К, дом 110;СЕЙТКАЗИЕВА ЛЯЗИЗА МУКАТАЕВНА;
"ТОО ""Кредитное Товарищество ""Zerendi invest""";130140000633;МФО;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ZERENDI INVEST""";АКМОЛИНСКАЯ ОБЛАСТЬ, ЗЕРЕНДИНСКИЙ РАЙОН, ЗЕРЕНДИНСКИЙ С.О., С.ЗЕРЕНДА, УЛИЦА ЮРИЯ ГАГАРИНА;КУШКУНБАЕВ ДАУРЕН СЕРИКПАЕВИЧ;
"ТОО ""Кредитное товарищество ""БОЛАШАК""";030440002065;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БОЛАШАК""";АКМОЛИНСКАЯ ОБЛАСТЬ, АСТРАХАНСКИЙ РАЙОН, АСТРАХАНСКИЙ С.О., С.АСТРАХАНКА, улица Аль Фараби, строение 83;БУРУМБАЕВА БАГИЛЯ КАЛАБАЕВНА;
"ТОО ""Кредитное товарищество ""Ерейментау-Агро""";051240006166;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЕРЕЙМЕНТАУ-АГРО""";АКМОЛИНСКАЯ ОБЛАСТЬ, ЕРЕЙМЕНТАУСКИЙ РАЙОН, Г.ЕРЕЙМЕНТАУ, улица Богенбая, дом 97, н.п. 33;РАЕВ ЕРЛАН АХМЕДОВИЧ;
"ТОО ""Ломбард&nbsp;Gold&nbsp;Grantum""";180240012233;Ломбард;"ТОО ""ЛОМБАРД GOLD GRANTUM""";АКМОЛИНСКАЯ ОБЛАСТЬ, БУРАБАЙСКИЙ РАЙОН, ЩУЧИНСКАЯ Г.А., Г.ЩУЧИНСК, улица Шанырак, дом 2А;ЧЕКАН АЛЕКСАНДР СЕРГЕЕВИЧ;
"ТОО ""Ломбард&nbsp;Алтын&nbsp;Кредит&nbsp;Плюс""";200640010367;Ломбард;"ТОО ""ЛОМБАРД АЛТЫН КРЕДИТ ПЛЮС""";АКМОЛИНСКАЯ ОБЛАСТЬ, БУРАБАЙСКИЙ РАЙОН, ЩУЧИНСКАЯ Г.А., Г.ЩУЧИНСК, улица Морозова, дом 26;ДЖАФАРОВ ФАРИД АБУЛФАТОГЛЫ;
"ТОО ""Кредитное товарищество ""Шортанды-Кредит""";061040004035;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ШОРТАНДЫ-КРЕДИТ""";АКМОЛИНСКАЯ ОБЛАСТЬ, ШОРТАНДИНСКИЙ РАЙОН, ШОРТАНДИНСКАЯ П.А., П.ШОРТАНДЫ, улица 30 лет Победы, здание 117Б;ЖАМАНТАЕВА КАРЛЫГАШ НАЖМИДЕНОВНА;
"ТОО ""Кредитное товарищество ""Центральное""";180340027939;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО"" ЦЕНТРАЛЬНОЕ""";АКМОЛИНСКАЯ ОБЛАСТЬ, АККОЛЬСКИЙ РАЙОН, АККОЛЬСКАЯ Г.А., Г.АККОЛЬ, улица Талгата Бигельдинова, дом 1/2;СЕРИКБАЕВ ГАЛИМЖАН МУХАМЕДКАЛИЕВИЧ;
"ТОО ""LIKE Ломбард""";160140006122;Ломбард;"ТОО ""LIKE ЛОМБАРД""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, МИКРОРАЙОН 11, 14а, кв 3;УСЕНБЕКОВ ЕРНАР ГАЛЫМЖАНУЛЫ;
"ТОО ""Микрофинансовая организация ""Береке""";030540007159;МФО;"АО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""БЕРЕКЕ""";ОБЛАСТЬ АБАЙ, СЕМЕЙ Г.А., Г.СЕМЕЙ, улица Шугаева, дом 8;ХАЙРЛЫБАЕВА ЖУМАГУЛЬ БЕЙСЕМБАЕВНА;
"ТОО ""Кредитное товарищество ""Жарма-Несие""";050340002302;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАРМА-НЕСИЕ""";ОБЛАСТЬ АБАЙ, ЖАРМИНСКИЙ РАЙОН, КАЛБАТАУСКИЙ С.О., С.КАЛБАТАУ, улица Кабанбая, здание 142А;ТҰРЛЫХАН НҰРБЕК ТҰРЛЫХАНҰЛЫ;
"ТОО ""Кредитное товарищество ""САРТАУ""";051240002956;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""САРТАУ""";ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, КУРЧУМСКИЙ РАЙОН, КУРЧУМСКИЙ С.О., С.КУРЧУМ, улица Бунтовских, строение 19;АҚЫЛБЕКҰЛЫ РАУАН;
"ТОО&nbsp;""Ломбард ""Алтын Алем""";080240022292;Ломбард;"ТОО ""АЛ ЛОМБАРД""";ТУРКЕСТАНСКАЯ ОБЛАСТЬ, САЙРАМСКИЙ РАЙОН, АКСУКЕНТСКИЙ С.О., С.АКСУ, улица Сураншы батыр, дом 42, кв. 43;ҚАДЫРБАЙ СУЛТАН КОШТАНҰЛЫ;
"ТОО ""Кредитное товарищество ""ШемАгроКредит""";080440002232;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ШЕМАГРОКРЕДИТ""";ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, ШЕМОНАИХИНСКИЙ РАЙОН, ШЕМОНАИХИНСКАЯ Г.А., Г.ШЕМОНАИХА, улица имени Анатолия Иванова, строение 62;НАРТОВА ВЕРА СЕРГЕЕВНА;
"ТОО ""LOMBARD 333 TM""";191240009093;МФО;"ТОО ""LOMBARD 333 TM""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, улица Едіге би, дом 76, н.п. 63;ЕРМЕКОВ ЖАСУЛАН АЛМАСОВИЧ;
"ТОО ""Pro100-Ломбард""";190540008852;Ломбард;"ТОО ""PRO100-ЛОМБАРД""";Г.АСТАНА, РАЙОН АЛМАТЫ, ПРОСПЕКТ ТАУЕЛСІЗДІК, 28, КВ 2;АЙТХОЖИН АРМАН СЕРГАЗЫЕВИЧ;
"ТОО ""Ломбард ""Алма–Ата 1""";130440011263;Ломбард;"ТОО ""ЛОМБАРД ""АЛМА -АТА 1""";Г.АЛМАТЫ, ТУРКСИБСКИЙ РАЙОН, улица Толстого, дом 5А;САРИНОВ РАМИЛЬ ДАЛМИРОВИЧ;
"ТОО ""Микрофинансовая организация ФРИДОМ ФИНАНС Кредит""";190340008954;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ФРИДОМ ФИНАНС КРЕДИТ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Сейфуллина, дом 502;МАРДЕНОВА АРДАК КАИРТАСОВНА;
"ТОО ""Saf1 Ломбард""";170840036333;Ломбард;"ТОО ""ORTALYQ ЛОМБАРД""";Г.АЛМАТЫ, ЖЕТЫСУСКИЙ РАЙОН, Микрорайон Айнабулак, дом 98Б;ЖҰМАЖАН АҚЖОЛ ЕРЕЖЕПҰЛЫ;
"ТОО ""Pro-LOMBARD.KZ""";190940012598;МФО;"ТОО ""PRO-LOMBARD.KZ""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛИЦА ШАШКИНА, 13, кв 17;ТАРАСҚЫЗЫ РЕГИНА;
"ТОО ""Кредитное товарищество ""Жаңақала Несие""";050440004520;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАҢАҚАЛА-НЕСИЕ""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, ЖАНГАЛИНСКИЙ РАЙОН, ЖАНАКАЛИНСКИЙ С.О., С.ЖАНГАЛА, улица Халыктар Достыгы, дом 57;НУРБУЛАТОВА АМИНАТ НУРБУЛАТОВНА;
"ТОО ""Микрофинансовая организация ""Orbis Credit""";210140001926;МФО;"ТОО ""МФО ""ORBIS СREDIT""";Г.АЛМАТЫ, НАУРЫЗБАЙСКИЙ РАЙОН, Микрорайон Рахат, улица Асанбая Аскарова, дом 21, н.п. 2а;АЙТКАЗИН БОТАБЕК ГЫЛЫМБЕКОВИЧ;
"ТОО ""Микрофинансовая организация ""Салем Кредит""";200540006761;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""САЛЕМ КРЕДИТ""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Сейфуллина, дом 469/5;ОМИРЖАНОВ ТАЛГАТ ГАЛЫМОВИЧ;
"ТОО ""Ломбард ""OK Finance""";190640006999;Ломбард;"ТОО ""ЛОМБАРД ""OK FINANCE""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Ермек Серкебаев, дом 6, кв. 8;НУРСЕЙТОВА УЛПАШ ОДАМАНОВНА;
"ТОО ""Микрофинансовая организация ""Jet Finance""";180940010094;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""JET FINANCE""";Г.АЛМАТЫ, МЕДЕУСКИЙ РАЙОН, Проспект Нұрсұлтан Назарбаев, дом 269А;КАНАПИНА АЙТОЛКЫН МАЛИККЫЗЫ;
"ТОО ""Микрофинансовая организация ""Туран Кредит""";170140000135;МФО;"ТОО ""МФО ""ТУРАН КРЕДИТ""";Г.АЛМАТЫ, НАУРЫЗБАЙСКИЙ РАЙОН, Микрорайон Калкаман-2, улица Жакаева, дом 247;ПРИМОВА АЙГУЛЬ КЕНЕСОВНА;
"ТОО ""Микрофинансовая организация ""Жеңіл Ақша""";170740001650;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ЖЕҢІЛ АҚША""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Розыбакиева, дом 250Б;МҰРАЛБЕК ЕСХАТ;
"ТОО ""New Ломбард""";201040036252;Ломбард;"ТОО ""NEW ЛОМБАРД""";Г.ШЫМКЕНТ, КАРАТАУСКИЙ РАЙОН, Микрорайон Нурсат, дом 120, кв. 2;НАМАЗБАЕВА УЛБОСЫН ЕРУБАЕВНА;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""Айтекеби""";021040002259;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АЙТЕКЕБИ""";АКТЮБИНСКАЯ ОБЛАСТЬ, АЙТЕКЕБИЙСКИЙ РАЙОН, С.О.ТЕМИРБЕКА ЖУРГЕНЕВА, С.ТЕМИРБЕКА ЖУРГЕНОВА, улица Жибек жолы, дом 6, кв. 4;САПАРОВ АМАНГЕЛДИ АРАЛБАЕВИЧ;
"ТОО ""ТЕХ-Ломбард БС""";080740001255;Ломбард;"ТОО ""ТЕХ-ЛОМБАРД БС""";Г.АСТАНА, РАЙОН САРЫАРКА, ПРОСПЕКТ ЖЕҢІС, 75, КВ 1;БОЗТАЕВ САБИТ СЕЙСЕНБАЕВИЧ;
"ТОО ""Микрофинансовая организация ""Credit market""";191240017605;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""CREDIT MARKET""";МАНГИСТАУСКАЯ ОБЛАСТЬ, АКТАУ Г.А., Г.АКТАУ, Промышленная зона 3, здание 26;БАТАЛОВ МИХАИЛ ЕВГЕНЬЕВИЧ;
"ТОО ""Ломбард Мирас""";170240008858;Ломбард;"ТОО ""ЛОМБАРД МИРАС""";ОБЛАСТЬ ЖЕТІСУ, ПАНФИЛОВСКИЙ РАЙОН, ЖАРКЕНТСКАЯ Г.А., Г.ЖАРКЕНТ, улица В. Юлдашева, здание 15/5;САЛИЕВА ГУЛЬНАР ЖЕТКЕНОВНА;
